X	Feature Profile 1	X	Feature Profile 2	X	Feature Profile 3	X	Feature Profile 4	X	Feature Profile 5
0	111,339595428	0	107,965510888	0	114,060810282	0	110,195130453	0	113,917270983
0,399869385081	111,481101817	0,399869385081	108,044017175	0,399869385081	114,201327963	0,399869385081	110,236271919	0,399869385081	114,057686583
0,799738771004	111,634747667	0,799738771004	108,065506402	0,799738771004	114,336368619	0,799738771004	110,318483435	0,799738771004	114,228904094
1,19960815609	111,792741874	1,19960815609	108,083317224	1,19960815609	114,483388256	1,19960815609	110,477359956	1,19960815609	114,415181485
1,59947754112	111,941795756	1,59947754112	108,071829964	1,59947754112	114,631945908	1,59947754112	110,65567884	1,59947754112	114,611477244
1,9993469262	112,116895399	1,9993469262	108,078198481	1,9993469262	114,755991811	1,9993469262	110,920680676	1,9993469262	114,762240201
2,39921631212	112,261563429	2,39921631212	108,113388465	2,39921631212	114,925581949	2,39921631212	111,180635212	2,39921631212	114,986096006
2,7990856972	112,403580312	2,7990856972	108,14547733	2,7990856972	115,10330329	2,7990856972	111,374687497	2,7990856972	115,198292435
3,19895508228	112,541876825	3,19895508228	108,223763266	3,19895508228	115,273341151	3,19895508228	111,517082879	3,19895508228	115,394260517
3,59882446821	112,624966975	3,59882446821	108,292403952	3,59882446821	115,401174367	3,59882446821	111,608523829	3,59882446821	115,456052199
3,99869385329	112,729516573	3,99869385329	108,321612345	3,99869385329	115,410963981	3,99869385329	111,714913086	3,99869385329	115,471862932
4,39856323837	112,80034576	4,39856323837	108,409868582	4,39856323837	115,394236473	4,39856323837	111,779989353	4,39856323837	115,533393188
4,7984326234	112,899919383	4,7984326234	108,478629736	4,7984326234	115,378111857	4,7984326234	111,819629836	4,7984326234	115,656626142
5,19830200932	113,023456084	5,19830200932	108,546447204	5,19830200932	115,33271778	5,19830200932	111,86953683	5,19830200932	115,831311306
5,5981713944	113,12829064	5,5981713944	108,564578393	5,5981713944	115,351758454	5,5981713944	111,88547809	5,5981713944	115,956258567
5,99804077949	113,29318344	5,99804077949	108,62182544	5,99804077949	115,454858899	5,99804077949	111,924262531	5,99804077949	116,047950382
6,39791016541	113,453164914	6,39791016541	108,721964739	6,39791016541	115,652301953	6,39791016541	111,974932406	6,39791016541	116,11170765
6,79777955049	113,590802651	6,79777955049	108,792898022	6,79777955049	115,818350693	6,79777955049	112,002062705	6,79777955049	116,157777371
7,19764893557	113,685516167	7,19764893557	108,892386838	7,19764893557	115,994556253	7,19764893557	112,092825556	7,19764893557	116,213459279
7,59751832065	113,68515175	7,59751832065	109,069223362	7,59751832065	116,131757502	7,59751832065	112,16840079	7,59751832065	116,324738148
7,99738770653	113,830908686	7,99738770653	109,231267809	7,99738770653	116,130241031	7,99738770653	112,259586476	7,99738770653	116,493148583
8,39725709161	113,935737219	8,39725709161	109,346508657	8,39725709161	116,136863461	8,39725709161	112,344625722	8,39725709161	116,636887643
8,79712647669	113,982648926	8,79712647669	109,330248297	8,79712647669	116,210065607	8,79712647669	112,405691349	8,79712647669	116,790340681
