X	Feature Profile 1	X	Feature Profile 2	X	Feature Profile 3	X	Feature Profile 4	X	Feature Profile 5
0	118,20438828	0	113,545875422	0	122,594505966	0	111,807525666	0	119,944655772
0,399822442331	118,331570122	0,399822442331	113,558323606	0,399822442331	122,672833177	0,399822442331	111,853474227	0,399822442331	120,033262325
0,799644884611	118,432540721	0,799644884611	113,563689736	0,799644884611	122,719888255	0,799644884611	111,864178164	0,799644884611	120,127959208
1,19946732778	118,490801201	1,19946732778	113,581624685	1,19946732778	122,77862647	1,19946732778	111,849910365	1,19946732778	120,216608453
1,59928977011	118,57914527	1,59928977011	113,582890388	1,59928977011	122,834704213	1,59928977011	111,859590124	1,59928977011	120,29928125
1,99911221244	118,649266429	1,99911221244	113,490449657	1,99911221244	122,833901913	1,99911221244	111,867792318	1,99911221244	120,378581857
2,39893465472	118,692439678	2,39893465472	113,445922202	2,39893465472	122,815064334	2,39893465472	111,853992215	2,39893465472	120,448401032
2,79875709789	118,70905344	2,79875709789	113,422428218	2,79875709789	122,788618181	2,79875709789	111,851523495	2,79875709789	120,550291488
3,19857954022	118,743687035	3,19857954022	113,459017679	3,19857954022	122,790560406	3,19857954022	111,908000256	3,19857954022	120,661897554
3,5984019825	118,764501918	3,5984019825	113,501736405	3,5984019825	122,832764884	3,5984019825	111,931766462	3,5984019825	120,767242203
3,99822442483	118,807787924	3,99822442483	113,529547246	3,99822442483	122,883863383	3,99822442483	111,93113817	3,99822442483	120,851643263
4,398046868	118,842203015	4,398046868	113,576653413	4,398046868	122,960231851	4,398046868	111,964119329	4,398046868	120,941585459
4,79786931028	118,888069139	4,79786931028	113,575451098	4,79786931028	123,027695393	4,79786931028	111,982865414	4,79786931028	121,015046297
5,19769175261	118,923254577	5,19769175261	113,597799767	5,19769175261	123,093187093	5,19769175261	111,984570798	5,19769175261	121,068707938
5,59751419495	118,971180306	5,59751419495	113,564256968	5,59751419495	123,157672979	5,59751419495	111,968365096	5,59751419495	121,117760807
5,99733663812	119,022976917	5,99733663812	113,530703657	5,99733663812	123,220029464	5,99733663812	111,963085457	5,99733663812	121,133138863
6,3971590804	119,049602243	6,3971590804	113,513883661	6,3971590804	123,238164296	6,3971590804	111,975769177	6,3971590804	121,14186523
6,79698152273	119,07172702	6,79698152273	113,518605659	6,79698152273	123,236981605	6,79698152273	111,976997271	6,79698152273	121,215482753
7,19680396506	119,121993846	7,19680396506	113,520958286	7,19680396506	123,216885974	7,19680396506	112,002174203	7,19680396506	121,246103168
7,59662640818	119,138110738	7,59662640818	113,533222988	7,59662640818	123,188086357	7,59662640818	112,030344475	7,59662640818	121,286557273
7,99644885051	119,154360014	7,99644885051	113,5476214	7,99644885051	123,156188283	7,99644885051	112,017486576	7,99644885051	121,305779552
8,39627129284	119,195260293	8,39627129284	113,539616037	8,39627129284	123,128964018	8,39627129284	112,016115189	8,39627129284	121,309224602
8,79609373517	119,240610936	8,79609373517	113,550053914	8,79609373517	123,109901577	8,79609373517	112,026101478	8,79609373517	121,286314401
9,19591617745	119,288505918	9,19591617745	113,571074465	9,19591617745	123,08002735	9,19591617745	112,020854089	9,19591617745	121,274083461
9,59573862062	119,310648079	9,59573862062	113,565355261	9,59573862062	123,094351198	9,59573862062	111,977797649	9,59573862062	121,283020597
9,99556106295	119,31712576	9,99556106295	113,557997038	9,99556106295	123,103030677	9,99556106295	111,922562507	9,99556106295	121,268067833
10,3953835052	119,340894159	10,3953835052	113,57053142	10,3953835052	123,063029725	10,3953835052	111,878584004	10,3953835052	121,20320998
