X	Feature Profile 1	X	Feature Profile 2	X	Feature Profile 3	X	Feature Profile 4	X	Feature Profile 5
0	130,222954481	0	127,255086068	0	130,294865796	0	125,506818486	0	131,506109428
0,399983326906	130,178088315	0,399983326906	127,350711022	0,399983326906	130,357929195	0,399983326906	125,596521312	0,399983326906	131,61219357
0,799966653579	130,136567125	0,799966653579	127,408266973	0,799966653579	130,413925701	0,799966653579	125,644816668	0,799966653579	131,714998371
1,19994998049	130,035893909	1,19994998049	127,451102621	1,19994998049	130,46198665	1,19994998049	125,695406943	1,19994998049	131,783017174
1,59993330716	129,915119533	1,59993330716	127,511130054	1,59993330716	130,531782564	1,59993330716	125,76182365	1,59993330716	131,790658294
1,99991663406	129,84400367	1,99991663406	127,562616237	1,99991663406	130,56431548	1,99991663406	125,798954409	1,99991663406	131,740319739
2,39989996108	129,783229757	2,39989996108	127,603190615	2,39989996108	130,580475186	2,39989996108	125,83750791	2,39989996108	131,711481503
2,79988328764	129,728728335	2,79988328764	127,64891904	2,79988328764	130,631054427	2,79988328764	125,867640553	2,79988328764	131,728140576
3,19986661466	129,692585132	3,19986661466	127,691347282	3,19986661466	130,6931327	3,19986661466	125,929363584	3,19986661466	131,728807737
3,59984994156	129,667496625	3,59984994156	127,737837595	3,59984994156	130,737683483	3,59984994156	125,973625039	3,59984994156	131,701124413
3,99983326824	129,632382766	3,99983326824	127,789416584	3,99983326824	130,766957803	3,99983326824	126,002102488	3,99983326824	131,67202957
4,39981659514	129,575908411	4,39981659514	127,847769479	4,39981659514	130,807179584	4,39981659514	126,03888856	4,39981659514	131,643925442
4,79979992171	129,536880345	4,79979992171	127,909524454	4,79979992171	130,869855251	4,79979992171	126,106216994	4,79979992171	131,618076183
5,19978324872	129,538283716	5,19978324872	127,931722701	5,19978324872	130,917935526	5,19978324872	126,214497514	5,19978324872	131,589899568
5,59976657563	129,504586154	5,59976657563	127,952931049	5,59976657563	130,966000983	5,59976657563	126,26491845	5,59976657563	131,580662419
5,9997499023	129,492594719	5,9997499023	128,016396817	5,9997499023	130,979443983	5,9997499023	126,248788712	5,9997499023	131,620162226
6,39973322921	129,503445161	6,39973322921	128,098742934	6,39973322921	130,998537661	6,39973322921	126,290892189	6,39973322921	131,661118005
6,79971655622	129,551635395	6,79971655622	128,143339533	6,79971655622	131,031335744	6,79971655622	126,304552073	6,79971655622	131,623593563
7,19969988278	129,512892923	7,19969988278	128,190612162	7,19969988278	131,077742299	7,19969988278	126,377645151	7,19969988278	131,537105595
7,5996832098	129,525477485	7,5996832098	128,217947401	7,5996832098	131,0451692	7,5996832098	126,418607247	7,5996832098	131,526930102
7,99966653636	129,577288757	7,99966653636	128,311908569	7,99966653636	130,999173669	7,99966653636	126,470710219	7,99966653636	131,496498833
8,39964986338	129,623913331	8,39964986338	128,437204225	8,39964986338	130,98287057	8,39964986338	126,529755251	8,39964986338	131,469237652
8,79963319028	129,672366893	8,79963319028	128,564314393	8,79963319028	130,948206328	8,79963319028	126,531195638	8,79963319028	131,431400064
9,19961651685	129,736703362	9,19961651685	128,662713979	9,19961651685	130,928422273	9,19961651685	126,558534524	9,19961651685	131,358432859
9,59959984386	129,794090992	9,59959984386	128,713259904	9,59959984386	130,9323252	9,59959984386	126,56936531	9,59959984386	131,359274763
