0	45.8051	0	44.3079	0	46.5567	0	43.3852	0	45.8522
0.999646378	45.9988	0.999646378	44.3802	0.999646378	46.8987	0.999646381	43.4725	0.999646378	46.086
1.99929276	46.292	1.99929276	44.3912	1.999292758	47.1472	1.99929276	43.6379	1.999292758	46.3454
2.998939136	46.5865	2.998939138	44.4444	2.998939135	47.2781	2.998939138	43.8029	2.998939135	46.6047
3.998585513	46.8623	3.998585513	44.5189	3.998585513	47.5032	3.998585514	43.932	3.998585513	46.8179
4.998231894	47.0579	4.998231894	44.5927	4.998231894	47.5503	4.998231894	43.9986	4.998231894	46.8762
5.997878273	47.3064	5.997878273	44.6927	5.997878273	47.5814	5.997878273	44.0973	5.997878273	46.9156
6.997524651	47.4657	6.997524651	44.7955	6.997524649	47.6474	6.997524651	44.2244	6.997524649	47.0666
7.99717103	47.6274	7.997171032	44.9234	7.99717103	47.6773	7.997171032	44.3314	7.99717103	47.145
8.996817409	48.0722	8.996817409	45.0169	8.996817409	47.6545	8.996817409	44.4845	8.996817405	47.22
9.996463787	48.1629	9.996463787	45.0775	9.996463787	47.9896	9.996463787	44.6547	9.996463787	47.2566
10.99611017	48.3331	10.99611017	45.1808	10.99611017	48.1158	10.99611017	44.7278	10.99611017	47.2998
11.99575655	48.5011	11.99575655	45.3368	11.99575654	48.4583	11.99575655	44.8599	11.99575654	47.527
12.99540292	48.5973	12.99540292	45.4536	12.99540292	48.705	12.99540292	44.9271	12.99540292	47.5177
13.9950493	48.5292	13.9950493	45.689	13.9950493	48.8615	13.9950493	45.0578	13.9950493	47.5903
14.99469568	48.6701	14.99469568	45.976	14.99469568	48.9984	14.99469568	45.2161	14.99469568	47.6914
15.99434206	48.9287	15.99434206	46.2814	15.99434206	49.1778	15.99434206	45.3478	15.99434206	47.8509
16.99398844	49.2613	16.99398844	46.5266	16.99398844	49.2472	16.99398844	45.4236	16.99398844	48.0164
17.99363482	49.5688	17.99363482	46.9101	17.99363482	49.4209	17.99363482	45.5127	17.99363482	48.1216
18.99328119	49.6688	18.99328119	47.1679	18.99328119	49.5487	18.99328119	45.6048	18.99328119	48.262
19.99292758	49.7501	19.99292758	47.473	19.99292758	49.8095	19.99292758	45.8093	19.99292757	48.3147
20.99257395	49.9123	20.99257395	47.9162	20.99257395	50.0346	20.99257395	45.9668	20.99257396	48.358
21.99222033	50.0479	21.99222033	48.3927	21.99222033	50.1656	21.99222033	46.198	21.99222033	48.4717
22.99186671	50.215	22.99186671	48.8392	22.99186671	50.2766	22.99186671	46.3444	22.99186671	48.5728
23.99151309	50.3571	23.99151309	49.1127	23.99151309	50.3743	23.99151309	46.4809	23.99151309	48.6335
24.99115947	50.5112	24.99115947	49.6418	24.99115947	50.4781	24.99115947	46.628	24.99115947	48.6897
25.99080585	50.7361	25.99080585	49.8989	25.99080585	50.5463	25.99080585	46.7631	25.99080585	48.7859
26.99045222	50.9334	26.99045223	50.1073	26.99045222	50.6326	26.99045223	46.9074	26.99045222	49.1014
27.9900986	51.087	27.9900986	50.2456	27.9900986	50.7718	27.9900986	47.0984	27.9900986	49.1813
28.98974499	51.2081	28.98974498	50.3087	28.98974498	50.9317	28.98974498	47.2887	28.98974498	49.2587
29.98939136	51.3983	29.98939136	50.3556	29.98939136	51.044	29.98939136	47.6217	29.98939136	49.4158
30.98903774	51.6564	30.98903774	50.5276	30.98903774	51.1653	30.98903774	47.9919	30.98903774	49.5453
31.98868412	51.853	31.98868412	50.6	31.98868412	51.2824	31.98868412	48.302	31.98868412	49.7882
32.9883305	52.0094	32.9883305	50.7192	32.9883305	51.3611	32.9883305	48.6381	32.9883305	49.817
33.98797688	52.2192	33.98797688	50.9201	33.98797687	51.4567	33.98797688	49.081	33.98797687	49.8609
34.98762325	52.3956	34.98762325	51.1659	34.98762325	51.6005	34.98762326	49.4359	34.98762325	49.8137
35.98726963	52.5579	35.98726963	51.3623	35.98726963	51.733	35.98726964	49.9087	35.98726963	49.9335
36.98691601	52.8132	36.98691601	51.5334	36.98691601	51.8264	36.98691601	50.3608	36.98691601	49.9486
37.98656239	53.0263	37.98656239	51.7997	37.98656239	51.9374	37.98656239	50.8415	37.98656239	49.9766
38.98620877	53.1837	38.98620877	52.0382	38.98620877	52.0308	38.98620877	51.3419	38.98620877	49.9895
39.98585515	53.335	39.98585515	52.2271	39.98585515	52.1273	39.98585515	51.8479	39.98585515	49.9632
40.98550153	53.5272	40.98550153	52.3784	40.98550153	52.1793	40.98550153	51.8954	40.98550153	50.0226
41.98514791	53.7312	41.98514791	52.6434	41.98514791	52.2706	41.98514791	51.8583	41.98514791	50.1064
42.98479428	53.8736	42.98479428	52.9315	42.98479428	52.3774	42.98479428	51.9447	42.98479428	50.3595
43.98444066	54.1105	43.98444066	53.2055	43.98444066	52.4739	43.98444066	52.0214	43.98444066	50.5249
44.98408704	54.3271	44.98408704	53.5183	44.98408704	52.529	44.98408704	52.0833	44.98408704	50.5828
45.98373342	54.5101	45.98373342	53.78	45.98373342	52.6455	45.98373342	52.1676	45.98373342	50.6331
46.9833798	54.6418	46.9833798	53.9553	46.9833798	52.7322	46.9833798	52.3289	46.9833798	50.6046
47.98302618	54.766	47.98302618	54.0778	47.98302618	52.8152	47.98302618	52.5054	47.98302618	50.5692
48.98267255	54.9793	48.98267255	54.3523	48.98267255	52.9148	48.98267255	52.6389	48.98267255	50.5493
49.98231894	55.1647	49.98231894	54.6836	49.98231894	52.9612	49.98231894	52.7436	49.98231894	50.4631
